"Jailhouse Rock","Elvis Presley","Platinum - A Life In Music","People Jams","Playlist","USRC15705223"
"Mr. Brightside","The Killers","Hot Fuss","People Jams","Playlist","USIR20400274"
"The Anthem","Good Charlotte","The Young and The Hopeless","People Jams","Playlist","USSM10209827"
"Don't Worry Be Happy","Bobby McFerrin","Simple Pleasures","People Jams","Playlist","USEM38800361"
"Drops of Jupiter (Tell Me)","Train","Drops Of Jupiter","People Jams","Playlist","USSM10019751"
"Wouldn't It Be Nice","The Beach Boys","Pet Sounds (Original Mono & Stereo Mix)","People Jams","Playlist","USCA20000220"
"Surfin' U.S.A. (Remastered 2001)","The Beach Boys","Surfin' USA","People Jams","Playlist","USCA20001654"
"Sugar Sugar","The Archies","Everything's Archie","People Jams","Playlist","QM6N21704357"
"Somebody Told Me","The Killers","Hot Fuss","People Jams","Playlist","USIR20400195"
"Heartbreaker","Michael Jackson","Invincible","People Jams","Playlist","USSM10109825"
"P.Y.T. (Pretty Young Thing)","Michael Jackson","Thriller","People Jams","Playlist","USSM19902993"
"Your Love","The Outfield","Super Hits","People Jams","Playlist","USSM18500264"
"Cheri Cheri Lady","Modern Talking","Let's Talk About Love","People Jams","Playlist","DEC738500001"
"Livin' la Vida Loca","Ricky Martin","Ricky Martin","People Jams","Playlist","NLB639920005"
"Electric Avenue","Eddy Grant","Electric Avenue","People Jams","Playlist","UKALA2300001"
"Footloose","Kenny Loggins","Yesterday, Today, Tomorrow - The Greatest Hits Of Kenny Loggins","People Jams","Playlist","USSM18400107"
"Kickstart My Heart","Mötley Crüe","Dr. Feelgood","People Jams","Playlist","USBY29900215"
"You Can Call Me Al","Paul Simon","Graceland","People Jams","Playlist","USSM11002274"
"The Chain (2004 Remaster)","Fleetwood Mac","100 Greatest Classic Rock Songs","People Jams","Playlist","USWB11301116"
"We Built This City","Starship","Knee Deep In The Hoopla","People Jams","Playlist","USRC18503424"
"Head Over Heels (Dave Bascombe 7"" N.Mix)","Tears For Fears","Head Over Heels","People Jams","Playlist","GBF080400754"
"The Middle","Jimmy Eat World","Bleed American","People Jams","Playlist","USDW10110256"
"Girls Got Rhythm (Live at the Pavillion de Paris, Paris, France - December 1979)","AC/DC","Bonfire","People Jams","Playlist","USEW18000009"
"Walk Like an Egyptian","The Bangles","The Essential Bangles","People Jams","Playlist","USSM18500592"
"Walk This Way","Aerosmith","Toys In The Attic","People Jams","Playlist","USSM19906481"
"Can't Stop","Red Hot Chili Peppers","By the Way","People Jams","Playlist","USWB10201694"
"Rich Girl","Daryl Hall & John Oates","Bigger Than Both Of Us","People Jams","Playlist","USRC17607760"
"Saturday Night’s Alright (For Fighting)","Elton John","Goodbye Yellow Brick Road","People Jams","Playlist","GBUM71304966"
"Starman","David Bowie","The Rise and Fall of Ziggy Stardust and the Spiders from Mars","People Jams","Playlist","USJT11200004"
"Hell N Back","Bakar","Hell N Back","People Jams","Playlist","GBARL1900848"
"Borderline","Tame Impala","The Slow Rush","People Jams","Playlist","AUUM71900956"
"The Boys Are Back","Dropkick Murphys","SIGNED and SEALED in BLOOD","People Jams","Playlist","USK251300001"
"Look Better In Gold","Friday Pilots Club","Friday Pilots Club","People Jams","Playlist","USCJY2067033"
"Joker And The Thief","Wolfmother","Wolfmother (10th Anniversary Deluxe Edition)","People Jams","Playlist","AUUM70500115"
"Harlem","New Politics","A Bad Girl In Harlem","People Jams","Playlist","USRC11201574"
"Hey Ya!","Outkast","Speakerboxxx/The Love Below","People Jams","Playlist","USAR10300924"
"Rosanna","Toto","Toto IV","People Jams","Playlist","USSM18200245"
"broken","lovelytheband","finding it hard to smile","People Jams","Playlist","US3DF1712109"
"Hungry like the Wolf (2009 Remaster)","Duran Duran","80s HITS – 100 Greatest Songs of the 1980s","People Jams","Playlist","GBAYE0901090"
"Uptown Girl","Billy Joel","An Innocent Man","People Jams","Playlist","USSM18300270"
"Stolen Dance","Milky Chance","Sadnecessary (Bonus Track Version)","People Jams","Playlist","DEL211300741"
